date	nil	count
2014-02-27 05:00:00	AFFORI	11.0
2014-02-27 06:00:00	AFFORI	10.466666666666667
2014-02-27 07:00:00	AFFORI	10.0
2014-02-27 08:00:00	AFFORI	10.466666666666667
2014-02-27 09:00:00	AFFORI	11.133333333333333
2014-02-27 10:00:00	AFFORI	11.2
2014-02-27 11:00:00	AFFORI	11.733333333333333
2014-02-27 12:00:00	AFFORI	12.0
2014-02-27 13:00:00	AFFORI	12.766666666666667
2014-02-27 14:00:00	AFFORI	8.833333333333334
2014-02-27 15:00:00	AFFORI	12.0
2014-02-27 16:00:00	AFFORI	12.0
2014-02-27 17:00:00	AFFORI	12.033333333333333
2014-02-27 18:00:00	AFFORI	10.566666666666666
2014-02-27 19:00:00	AFFORI	10.133333333333333
2014-02-27 20:00:00	AFFORI	7.333333333333333
2014-02-27 21:00:00	AFFORI	7.133333333333334
2014-02-27 22:00:00	AFFORI	6.933333333333334
2014-02-27 23:00:00	AFFORI	5.766666666666667
2014-02-28 00:00:00	AFFORI	5.0
2014-02-28 01:00:00	AFFORI	6.1
2014-02-28 02:00:00	AFFORI	8.8
2014-02-28 03:00:00	AFFORI	9.0
2014-02-28 04:00:00	AFFORI	9.0
2014-02-28 05:00:00	AFFORI	9.1
2014-02-28 06:00:00	AFFORI	9.966666666666667
2014-02-28 07:00:00	AFFORI	8.333333333333334
2014-02-28 08:00:00	AFFORI	7.4
2014-02-28 09:00:00	AFFORI	7.0
2014-02-28 10:00:00	AFFORI	6.533333333333333
2014-02-28 11:00:00	AFFORI	5.966666666666667
2014-02-28 12:00:00	AFFORI	5.8
2014-02-28 13:00:00	AFFORI	5.966666666666667
2014-02-28 14:00:00	AFFORI	5.866666666666666
2014-02-28 15:00:00	AFFORI	6.0
2014-02-28 16:00:00	AFFORI	5.766666666666667
2014-02-28 17:00:00	AFFORI	4.466666666666667
2014-02-28 18:00:00	AFFORI	3.466666666666667
2014-02-28 19:00:00	AFFORI	3.0
2014-02-28 20:00:00	AFFORI	3.0
2014-02-28 21:00:00	AFFORI	3.2666666666666666
2014-02-28 22:00:00	AFFORI	1.5333333333333334
2014-02-28 23:00:00	AFFORI	1.7666666666666666
2014-03-01 00:00:00	AFFORI	0.6333333333333333
2014-03-01 01:00:00	AFFORI	1.0
2014-03-01 02:00:00	AFFORI	1.3333333333333333
2014-03-01 03:00:00	AFFORI	2.6
2014-03-01 04:00:00	AFFORI	4.4
2014-03-01 05:00:00	AFFORI	5.766666666666667
2014-03-01 06:00:00	AFFORI	6.0
2014-03-01 07:00:00	AFFORI	5.966666666666667
2014-03-01 08:00:00	AFFORI	4.633333333333334
2014-03-01 09:00:00	AFFORI	4.7
2014-03-01 10:00:00	AFFORI	3.6333333333333333
2014-03-01 11:00:00	AFFORI	2.566666666666667
2014-03-01 12:00:00	AFFORI	2.7
2014-03-01 13:00:00	AFFORI	3.0
2014-03-01 14:00:00	AFFORI	2.2666666666666666
2014-03-01 15:00:00	AFFORI	0.8
2014-03-01 16:00:00	AFFORI	2.566666666666667
2014-03-01 17:00:00	AFFORI	2.2666666666666666
2014-03-01 18:00:00	AFFORI	1.4
2014-03-01 19:00:00	AFFORI	2.0
2014-03-01 20:00:00	AFFORI	2.7333333333333334
2014-03-01 21:00:00	AFFORI	3.0
2014-03-01 22:00:00	AFFORI	1.2666666666666666
2014-03-01 23:00:00	AFFORI	0.8
2014-03-02 00:00:00	AFFORI	1.4
2014-03-02 01:00:00	AFFORI	1.8333333333333333
2014-03-02 02:00:00	AFFORI	2.8666666666666667
